Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Вітер,Варвара,Василівна,жіноча,1948-09-27,Сантехнік,село Київ,"вулиця Василя Кандинського 1-й, буд. 01 кв. 80, Алупка, 87173",+380 03 087-16-37,iaroslavaieresko@example.net
Дейнека,Дарина,Олександрівна,жіноча,1955-07-31,Мінералог,село Довжанськ,"вулиця Світла, буд. 8, Обухів, 54460",033 602-92-60,qprytula@example.net
Гук,Петро,Михайлович,чоловіча,1992-11-01,Державний службовець,село Носівка,"парк Баштанна, буд. 5, Авдіївка, 49881",221-69-64,larysa11@example.org
Іщак,Феофан,Васильович,чоловіча,1996-02-07,Сантехнік,селище Зіньків,"проспект Данила Крижанівського, буд. 004 кв. 93, Виноградів, 76079",+380 (95) 098-18-00,irenakovaliuk@example.net
Устенко,Спас,Максимович,чоловіча,1939-02-01,Сценарист,місто Львів,"сквер Азербайджан, буд. 10 кв. 721, Слов'янськ, 02661",483-11-55,sriabovil@example.net
Гавришкевич,Вʼячеслав,Іванович,чоловіча,2003-06-05,Золотар,місто Херсон,"парк Академіка Філатова, буд. 675 кв. 69, Радехів, 21580",092 397 27 48,hryhorii08@example.org
Гаврилів,Богданна,Миколаївна,жіноча,1966-04-02,Каскадер,хутір Новоселиця,"вулиця Лінія 54-та, буд. 2 кв. 83, Свалява, 04810",057 205 28 47,ruslan67@example.net
Данильчук,Пантелеймон,Федорович,чоловіча,1949-06-16,Каскадер,хутір Знам'янка,"сквер Дунайська, буд. 478 кв. 95, Тлумач, 25916",031 734-46-54,rhabelko@example.org
Ребрик,Прохір,Петрович,чоловіча,1991-04-29,Льотчик,хутір Першотравенськ,"площа Разумовська, буд. 286 кв. 51, Умань, 46660",+380 44 685 37 76,riabetslarysa@example.com
Акуленко,Соломон,Васильович,чоловіча,2004-11-18,Мовознавець,селище Сокиряни,"парк Геранієва, буд. 10, Новгород-Сіверський, 75909",+380 56 966-38-91,iarema32@example.com
Вовк,Ліза,Миколаївна,жіноча,2002-11-13,Секретар,селище Моспине,"сквер Місячна, буд. 805, Кіцмань, 42307",707 15 37,oleksandr09@example.net
Атрощенко,Альбіна,Леонідівна,жіноча,1968-07-30,Педагог,селище Коломия,"набережна Ковалевського, буд. 3, Бобринець, 57328",053 379 87 52,valentyn55@example.org
Аронець,Камілла,Олександрівна,жіноча,2008-10-25,Акушер,селище Березівка,"набережна Латвійський узвіз, буд. 58 кв. 15, Вовчанськ, 16209",+380 29 119-67-95,kyrylo22@example.com
Слюсар,Марта,Романівна,жіноча,1982-12-06,Літературознавець,місто Полтава,"сквер Сурикова 2-й, буд. 82 кв. 912, Бахмач, 91329",+380 08 171 60 04,wromanets@example.com
Демʼяненко,Марта,Андріївна,жіноча,1950-11-06,Няня,селище Волноваха,"набережна Азовський, буд. 4 кв. 804, Ясинувата, 02830",+380 17 775-87-15,shevchenkorostyslav@example.org
Масляк,Юстина,Максимівна,жіноча,1967-12-23,Швачка,село Барвінкове,"провулок Круговий, буд. 536 кв. 0, Кодима, 14296",+380 74 113-38-51,vashchenkoedyta@example.net
Саєнко,Кирило,Ігоревич,чоловіча,2000-11-24,Диригент,село Петрово-Красносілля,"сквер Профспілкова, буд. 30 кв. 0, Чортків, 62300",+380 76 292 46 78,shvachkahryhorii@example.net
Зубко,Алевтин,Артемович,чоловіча,1949-03-13,Астронавт,селище Соледар,"узвіз Партизанська, буд. 2 кв. 929, Збараж, 84559",046 814-32-81,bevzenkoopanas@example.net
Єресько,Василина,Миколаївна,жіноча,1975-07-05,Паблік рилейшнз,місто Охтирка,"шосе Куликове поле, буд. 4, Городенка, 41042",835-62-84,sbatiuk@example.org
Ейбоженко,Богодар,Максимович,чоловіча,1997-09-28,Драматург,хутір Городище ,"набережна Деволанівський узвіз, буд. 399, Лозова , 90146",+380 42 826-78-95,pavlo61@example.com
Власюк,Августин,Андрійович,чоловіча,2002-03-25,Фармацевт,селище Горішні Плавні,"шосе Старорізнична, буд. 537, Стрий, 99466",+380 00 082-28-54,tymofiilukash@example.org
Скорик,Ольга,Олегівна,жіноча,1978-11-23,Астрофізик,місто Чортків,"проспект Рішельєвська, буд. 3 кв. 43, Свалява, 96732",350 46 80,korbutoleh@example.org
Шухевич,Федір,Олександрович,чоловіча,1952-06-27,Водій,місто Рубіжне,"узвіз Тупиковий 1-й, буд. 6 кв. 805, Ірпінь, 72608",+380 56 347-56-44,borysvlasenko@example.org
Носаченко,Богуслав,Олегович,чоловіча,1969-05-04,М'ясник,селище Чигирин,"парк Офіцерський 2-й, буд. 0, Хрестівка, 69935",+380 33 847 44 28,trokhym92@example.org
Примаченко,Степан,Іванович,чоловіча,1966-07-17,Стиліст,селище Кам'янець-Подільський,"сквер Новаторів, буд. 7, Новомиргород, 15512",076 805-46-18,shvachkaanita@example.net
Тесля,Левко,Федорович,чоловіча,1973-09-27,Ветеринар,хутір Молодогвардійськ,"проспект Краснова, буд. 44 кв. 835, Городня, 42245",059 054 04 25,radchenkomarko@example.com
Дрозденко,Златослава,Геннадіївна,жіноча,1952-08-14,Мовознавець,хутір Кременець,"парк Юрія Олеші, буд. 0, Українка , 25941",726-62-62,atytarenko@example.net
Давимука,Олесь,Павлович,чоловіча,1980-04-19,Актор,місто Сулимівка (Слов'янськ),"узвіз Зелена гірка, буд. 9, Мерефа, 81008",+380 33 169 21 55,ypavlenko@example.net
Абраменко,Варфоломій,Юрійович,чоловіча,1986-10-02,Електрослюсар,селище Луганськ,"шосе Василя Стуса, буд. 559, Оріхів, 59781",014 054-52-36,volodymyra13@example.net
Гавриленко,Герман,Васильович,чоловіча,1997-07-15,Стиліст,селище Ізяслав,"узвіз Овідіопольська дорога, буд. 237, Чорноморськ, 42760",763 33 18,boryslav75@example.com
Гузенко,Амалія,Павлівна,жіноча,1961-10-21,Етнограф,селище Острог,"узвіз Отрадна, буд. 05 кв. 70, Хрестівка, 31596",027 925 93 15,tychynaazar@example.net
Комар,Єфрем,Павлович,чоловіча,1984-02-25,Візажист,село Дебальцеве,"провулок Ольгіївський узвіз, буд. 44 кв. 64, Скадовськ, 10837",+380 75 564-40-25,martynsimashkevych@example.com
Гаврилишин,Давид,Петрович,чоловіча,1982-07-25,Державний службовець,місто Чугуїв,"сквер Окружна, буд. 478 кв. 56, Калинівка , 71276",+380 (07) 725-33-28,aaron86@example.net
Андрощук,Борис,Олегович,чоловіча,1965-05-14,Менеджер,місто Хмельницький,"набережна Політкаторжан, буд. 21, Куп'янськ, 13058",172-76-46,fareniukomelian@example.net
Гавриш,Тетяна,Олександрівна,жіноча,1993-12-28,Гінеколог,селище Рівне,"провулок Івахненка Петра, буд. 5 кв. 0, Корець, 93796",893 25 31,overkhola@example.org
Єрошенко,Леон,Юрійович,чоловіча,1991-07-17,Палеонтолог,село Бахчисарай,"парк Леонтовича, буд. 87, Алчевськ, 28176",007 640-44-50,bohuslavailchenko@example.com
Даниленко,Демид,Петрович,чоловіча,1965-12-11,Мовознавець,селище Володимир-Волинський,"набережна Геранієва, буд. 17, Новодністровськ, 98918",898 40 73,artymtymofii@example.net
Архимович,Богдан,Дмитрович,чоловіча,1939-11-16,Психолог,селище Рожище,"шосе Тролейбусна, буд. 29, Костянтинівка, 20260",+380 79 905-73-31,dutkamilena@example.com
